"1";"1";"Bk Areilza 21066";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Areiltza Doktorearen Zumarkalea, 28";"4009";"Bilbao";"Bizkaia";"2016-12-01"
"2";"2";"La OLa";"la-ola.png";"fondo-laola.jpg";;"Bienvenidos a La Ola";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Muelle Ereaga Kaia, 14";"48992";"Getxo";"Bizkaia";"2016-12-01"
"3";"1";"BK Ibis Bilbao 21276";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Calle General Concha, 28";"48012";"Bilbao";"Bizkaia";"2016-12-01"
"4";"27";"B Impasioned";"B-Impassioned-logo.jpg";"Fondo-B.jpg";;"<font color=""black"">¡Bienvenido!</font>";;;;;"bepe-promo.jpeg";"1";"Calle Rafael Calvo 19";"28010";"Madrid";"Madrid";"2017-06-21"
"5";"1";"BK Torrelavega 22108";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Av. de Bilbao, 90C";"39300";"Torrelavega";"Cantabria";"2016-12-01"
"6";"1";"BK Abando 11537";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Plaza Biribila, 2";"48008";"Bilbao";"Bizkaia";"2016-12-01"
"7";"28";"Level11";"logo-level11.png";"fondo-level11.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;;"bepe-promo.jpeg";"1";"Plaza Arriquíbar, 5";"48010";"Bilbao";"Bizkaia";"2016-12-01"
"9";"1";"BK Castro Urdiales 21172";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Calle Jardines,1";"39700";"Castro Urdiales";"Cantabria";"2016-12-01"
"10";"7";"SUUMA";"bepenak-logo.png";"fondo-global.jpeg";;"<font color=""black"">WELCOME TO BEPENAK'S FREE WIFI</font>";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Alameda de Recalde, 35 BIS";"48009";"Bilbao";"Bizkaia";"2016-12-01"
"11";"8";"Restaurante Guria";"logo-guria.png";"fondo-guria.jpg";;"¡Bienvenido!<br>Restaurante Guria";;;;;"promo-guria.jpg";"1";"Don Diego Lopez Haroko Kale Nagusia, 66";"48011";"Bilbao";"Bizkaia";"2016-12-01"
"12";"1";"BK Leioa 20116";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Hipermercado EROSKI - Ctra La Avanzada S/N";"48940";"Leioa";"Bizkaia";"2016-12-01"
"13";"1";"BK Miranda de Ebro 18789";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Centro Comercial E.LECLERC, C/Jerea, Pol.Ind. Las Californias";"09200";"Miranda de Ebro";"Burgos";"2016-12-01"
"14";"1";"BK Hispanidad 18781";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Via de la Hispanidad, 15";"50006";"Zaragoza";"Zaragoza";"2016-12-01"
"15";"9";"Icaza";"icaza.png";"fondo-icaza.jpg";;"¡Bienvenido!<br>Icaza";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";"promo-silla.jpeg";"1";"Mazarredo Zumarkalea, 47";"48009";"Bilbao";"Bizkaia";"2016-12-01"
"16";"26";"San Jose De Calasanz";"San-Jose.png";"fondo-san-jose.jpeg";;"¡Bienvenido!";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"C/ Hospital Bajo, 11, 48980 Santurtzi, BI";"48980";"Santurtzi";"Bizkaia";"2017-06-13"
"17";"1";"BK Berceo 21560";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Berceo Centro Comercial, Calle Lérida, 2";"26006";"Logroño";"La Rioja";"2016-12-01"
"18";"1";"BK Behobia 22107";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Endarlaza Hiribidea, 3";"20305";"Irun";"Gipuzkoa";"2016-12-01"
"19";"1";"BK Gran Via,Logroño 9094";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Av. Gran Vía Juan Carlos I, 45";"26005";"Logroño";"La Rioja";"2016-12-01"
"20";"1";"BK Sancho El Fuerte 13117";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Av. de Sancho El Fuerte, 83";"31008";"Pamplona/Iruña";"Navarra";"2016-12-01"
"21";"1";"BK Mega Park 16708";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Megapark ";"48903 ";"Barakaldo";"Bizkaia";"1900-01-01"
"22";"1";"BK Zaragoza (Casa) 10565";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Gertrudis de Avellaneda S/N ";"50014 ";"Zaragoza";"Zaragoza";"1900-01-01"
"23";"1";"BK Puerto Venecia 18779";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Puerto Venecia, Travesía Jardines Reales, 7 Planta Alta, C.C. Puerto de Venecia";"50021";"Zaragoza";"Zaragoza";"1900-01-01"
"24";"1";"BK Berriozar (Agustinos) 18135";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"POLIGONO AGUSTINOS C/ A PARCELA ";"1600";"Pamplona/Iruña";"Navarra";"1900-01-01"
"25";"1";"BK Alcampo 14625";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Centro Comercial Parque Rioja, Camino de las Tejeras, SN";"26005";"Logroño";"La Rioja";"1900-01-01"
"26";"1";"BK Max Center 8406";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Kareaga, s/n ";"48903";"Barakaldo";"Bizkaia";"1900-01-01"
"27";"1";"BK Itaroa 15146";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;" ";"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Centro Comercial y de Ocio ITAROA - C/ Altxuntxate nº 5";"31620";"Huarte";"Navarra";"1900-01-01"
"28";"1";"BK Abadiño 20117";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";" ";;" ";"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Barrio Murueta SN";"48220";"Abadiño";"Bizkaia";"1900-01-01"
"29";"1";"BK Lintzirin 21685";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";" ";;" ";"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Ctra. N-1 Madrid-Irun, Km 469 Poligono Lintzirin - Edificio Hotel Lintzirin";"20180 ";"Oiartzun";"Gipuzkoa";"1900-01-01"
"30";"1";"BK San Sebastian 21757";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";" ";;" ";"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Calle Oquendo Nº 2";"20004";"Donostia/San Sebastián";"Gipuzkoa";"1900-01-01"
"31";"1";"BK Imperial 16699";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;" ";"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Avda. Diagonal 8";"50007 ";"Zaragoza";"Zaragoza";"1900-01-01"
"33";"1";"BK Zaragoza Goya 22214";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Paseo de Fernando el Católico, 6,";"50006";"Zaragoza";"Zaragoza";"1900-01-01"
"34";"1";"BK Coso 14896";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Calle del Coso,62";"50001";"Zaragoza";"Zaragoza";"1900-01-01"
"35";"10";"Krunch";"pixel.png";"krunch.jpg";;"<font color=""black"">KRUNCH FREE WIFI</font>";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";"promo-krunch.jpeg";"1";"Alameda Urquijo,10";;"Bilbao";"Bizkaia";"1900-01-01"
"36";"9";"Icaza eventos";"art-logo.png";;;"<font color=""black"">Welcome to the AWEsome English with Art Party in Bilbao</font>";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";"evento-promo.jpeg";"1";"Mazarredo Zumarkalea, 47";"48009";"Bilbao";"Bizkaia";"2016-12-01"
"37";"11";"Old School Factory";"logo-school.png";"fondo-school.jpg";;"Welcome | Bienvenido | Ongi etorri </br> OLD SCHOOL FACTORY";;;;;;"1";"Conde Mirasol, 5";"48003";"Bilbao";"Bizkaia";"1900-01-01"
"38";"12";"Jesús y María";"logo-JYM.png";"jym-fondo.jpeg";;"¡Bienvenido a Jesús y María!";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"c/Compañia N ° 4";"31001";"Pamplona/Iruña";"Navarra";"1900-01-01"
"39";"1";"BK Aranda de Duero 21277";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Hipersimply - Ctra. La Aguilera, km 0,500";"09400";"Aranda de Duero";"Aranda de Duero";"1900-01-01"
"40";"1";"BK Arteixo 23370";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Poligono de Sabon - Avda. Finisterre, 145 - Parcela 29";"15142";"Arteixo";"A Coruña";"1900-01-01"
"41";"1";"BK ECIBurgos 21067";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"HIPERCOR, Ctra.  Madrid-Irun km 236 ";"09001";"Burgos";"Burgos";"1900-01-01"
"42";"1";"BK Abella 21068";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Centro Comercial Abella, CC Abella, Rúa Orquídea, 22-24";"27004";"Abella";"Lugo";"1900-01-01"
"43";"1";"BK Burgos 9451";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Centro Comercial Camino de la Plata, Av. de Castilla y León, 22";"09006";"Burgos";"Burgos";"1900-01-01"
"44";"1";"BK Foro Auto 18966";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Av. de la Constitución, 105";"33203";"Gijón";"Asturias";"1900-01-01"
"45";"1";"BK Ávila (Teresa de Calcuta) 22724";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"c/ Teresa de Calcuta, esquina c/ Pintor Caprotti.";"05001 ";"Ávila";"Ávila";"1900-01-01"
"46";"1";"BK Begoña 14947";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Calle San Bernardo, 89";"33201";"Gijón";"Asturias";"1900-01-01"
"47";"1";"BK Carrefour Leon 19090";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"Carrefour León, Av. del Alcalde Miguel Castaño, 95";"24005";"León";"León";"1900-01-01"
"48";"1";"BK San Francisco 14673";"burger-king.png";"fondo-burger.jpg";;"Welcome | Bienvenido | Ongi etorri | Bienvenu | Willkommen | Benvenuti";;;;"Powered by <a href=""https://suumaprojects.com"">suumaprojects.com</a>";;"1";"San Francisco, 16 18,";"24006";"León";"León";"1900-01-01"
